전용면적(㎡),계약년월,거래금액(만원),건축년도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,거래유형,평수
49.62,202301,13000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01005
39.74,202301,11100.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02135
78.9402,202301,37800.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.879410500000002
59.675,202301,8000.0,1983.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0516875
84.94,202301,40000.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.69435
59.4,202301,11000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9685
37.755,202301,6900.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.420887500000001
84.9,202301,17000.0,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.68225
77.12,202301,16000.0,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3288
75.98,202301,24500.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.98395
75.98,202301,24000.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98395
38.6382,202301,16000.0,2004.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.688055499999999
76.8487,202301,31000.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.24673175
